"plan_id","name","edu_section_binary","edu_section_detail","edu_strategy","edu_what","edu_target_audience","edu_content_type","edu_topic","edu_staff_binary","edu_staff_detail","edu_funding_binary","edu_funding_detail","edu_outcome_binary","edu_outcome_detail","edu_indicator_binary","edu_indicator_detail","obs_id"
2,"Santuario de Flora y Fauna Malpelo",1,"RESULT 1.6 Five stakeholders with educational processes developed within the framework of the national guideline for environmental education in National Natural Parks.","Raising awareness among visitors, tour operators and the national army about the importance and value of the natural resources found in the SFF Malpelo","Community presentations and/or workshops","Visitors; Local tourism operators; Government officials; Fishers","Development; Implementation","EE",1,"DTPA/Chief AP/Professional/Technologist",0,"Not specified",1,"Develop educational and outreach actions, mainly associated with the ecotourism activities.",1,"Follow-up reports on educational actions implemented with guilds and/or associations of fishers of the district of Bonaventure in Years 1-4","11"
3,"Parque Nacional Isla del Coco",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.1.1. Establish a process of continuous training and good environmental and sustainability practices aimed at the personnel of the Directorate of the Galapagos National Park.","Park staff leadership development, training, and/or expansion","Park administration; Visitors","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","13"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.1.2. Advise and technically manage communication, education and participation programs of the different processes of the Directorate of the Galapagos National Park","Park staff leadership development, training, and/or expansion","Park administration; Visitors","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","14"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.1.3. Develop a scientific dissemination program in relation to Program 5 of Sustainability Science and Technological Innovation, by virtue of its transversal nature","Media marketing and science communication","Park administration; Visitors; General public","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","15"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.1.4. Define and execute a process of transparency and accountability through the dissemination of information on the actions of the Directorate of the Galapagos National Park","Park staff leadership development, training, and/or expansion","Park administration; Visitors; Organizations as potential collaborators","Development; Implementation","Other",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","16"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.2.1. Execute a permanent process of support to the formal education sector to strengthen the commitment of Galapagueños with a model of sustainable development","School presentations and/or workshops","Schools, students, and educators; Organizations as potential collaborators","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","17"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.2.2. Establish diagnostic processes before and after social intervention regarding the main challenges or problems of protected areas","Evaluation of strategy","Park administration; Visitors; Local residents","Evaluation","Not directly stated",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","18"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.2.3. Define, prioritize and execute action strategies, together with the entities according to their competencies and social groups related to the main socio-environmental problems","Evaluation of strategy","Park administration; Government officials; Organizations as potential collaborators; Local residents; General public; Visitors","Development; Implementation; Evaluation","Not directly stated",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","19"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.3.1. Diversify communication strategies that allow reaching new audiences to achieve greater support from the local, national and international community for conservation actions in Galapagos.","Media marketing and science communication","Organizations as potential collaborators; Media journalists; Local residents; General public; Visitors","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","20"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.3.2. Maintain updated information channels on the development of the management of the Directorate of the Galapagos National Park","Media marketing and science communication","Park administration; Organizations as potential collaborators","Development; Implementation","Other",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","21"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.3.3. Establish a process of strengthening and involving local communicators with the informative objectives of the Directorate of the Galapagos National Park","Local volunteer/steward program","Media journalists; Local residents; Organizations as potential collaborators; General public","Development; Implementation","Other",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","22"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.4.1. Promote participatory management through the dynamization of permanent processes that allow the different social sectors and local entities, according to their competencies, to get involved in the joint management and definition of solutions to face local environmental challenges.","Invest in broad organization relationships","Local residents; General public; Community leaders; Volunteers; Organizations as potential collaborators","Development; Implementation","Other",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","23"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.4.2. Facilitate specific participatory processes for the management of socio-ecological conflicts related to protected areas","Park staff leadership development, training, and/or expansion","Park administration; Local residents; General public; Community leaders; Volunteers; Organizations as potential collaborators","Development; Implementation","Compliance",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","24"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.5.1. Promote that the Galapagos culture is related to the responsible use and enjoyment of the services provided by ecosystems, incorporating in its inhabitants a more sustainable lifestyle that allows Galapagos to position itself as a world reference","Media marketing and science communication","Local residents; General public; Community leaders; Volunteers; Organizations as potential collaborators","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","25"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.5.2. Maintain awareness actions for special groups (temporary residents, military personnel, among others) on environmental issues and Galapagos culture","Community presentations and/or workshops","Local residents","Development; Implementation","EE",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","26"
4,"Galapagos Marine Reserve",1,"Program 4.1. Communication, education and environmental participation","4.1.5.3. Implement lines of action to support the development of local cultural and artistic expressions","Promote alternative livelihoods","Local residents","Development; Implementation","Other",1,"National Park Directorate Galapagos",0,"Not specified",1,"Promote a Galapagos culture characterized by a sustainable lifestyle that takes advantage of the opportunities offered by protected areas for environmental education, recreation, and participatory management models.",0,"N/A","27"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Continue to implement outreach campaigns targeting different target audiences with the objective of making known the importance of conservation of the Site","Community presentations and/or workshops","Local residents; Visitors; General public","Development; Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","28"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Promoting scientific tourism among the main units/centres, research, as well as with universities (regional, national and international) and scientific society","Invest in broad organization relationships","Organizations as potential collaborators; Scientists; Local tourism operators; Schools, students, and educators","Development; Implementation","Other",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","29"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Identify possible cooperation actions with regions/countries that hold a broad knowledge of scientific tourism","Invest in broad organization relationships","Organizations as potential collaborators; Local tourism operators","Development; Implementation","Other",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","30"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Promoting nature tourism through the creation of mechanisms that allow the development of activities on land and at sea","Improve visitor infrastructure","Visitors; General public","Development; Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","31"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Maintain the elaboration of promotional material about the Site","Media marketing and science communication","General public; Visitors","Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","32"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Continuing to publicize the Site and its projects through the media","Media marketing and science communication","Media journalists; General public","Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","33"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Providing the managing body's staff with seminars and training courses so that can better convey information about the Site to visitors","Park staff leadership development, training, and/or expansion","Park administration","Development; Implementation","Not directly stated",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","34"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Improve visitor reception spaces","Improve visitor infrastructure","Visitors","Implementation; Evaluation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","35"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Improve the information available (exposure) on the Site","Media marketing and science communication","Visitors; General public","Implementation; Evaluation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","36"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Improve the tracks","Improve visitor infrastructure","Visitors","Implementation; Evaluation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","37"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Continue to promote the Site internationally, through applications for Awards international organizations for the Conservation of Nature","Invest in broad organization relationships","General public; Organizations as potential collaborators","Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","38"
5,"Ilhas Selvagens Special Conservation Area",1,"2.2.2 EDUCATION AND ENVIRONMENTAL AWARENESS","Ensuring the renewal of the Council of Europe Graduate Area Award","Local volunteer/steward program","Schools, students, and educators; Local youth","Implementation; Evaluation","Other",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","39"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","The “Chumbe Environmental Education (EE) Programme”","School presentations and/or workshops","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Island-based Education Coordinator and Education Department; Marine Education Awareness and Biodiversity Programme; Department of Fisheries; Institute of Marine Science  and the wider staff of Chumbe Island",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","40"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","Floating Information Modules","Improve visitor infrastructure","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Island-based Education Coordinator and Education Department; Marine Education Awareness and Biodiversity Programme; Department of Fisheries; Institute of Marine Science  and the wider staff of Chumbe Island",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","41"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","Coral Reef Module","Improve visitor infrastructure","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Island-based Education Coordinator and Education Department; Ministry of Education",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","42"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","Excursions for disabled children","Improve visitor infrastructure","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation","EE",1,"Island-based Education Coordinator and Education Department;  Mnazi Moja hospital",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","43"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","Environmental Education booklets for schools","School presentations and/or workshops","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation","EE",1,"Island-based Education Coordinator and Education Department;  Mnazi Moja hospital",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","44"
6,"Chumbe Island Reef Sanctuary",1,"7. EDUCATION: Programmes & Lessons Learned","Chumbe Challenge Award","Local volunteer/steward program","Schools, students, and educators; Local residents; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Island-based Education Coordinator and Education Department;  Mnazi Moja hospital",1,"Ecotourism revenue and matching funds from different organizations",1,"Grant children a chance to visit their surrounding ecosystems",0,"N/A","45"
7,"Aldabra Atoll Special Reserve",1,"Education and interpretation","Develop and implement an education program for staff of Aldabra Atoll to raise awareness and understanding of the values of the protected area, the purposes of the management zones and regulations and the reasons for these controls. (H)","Park staff leadership development, training, and/or expansion","Park administration","Development; Implementation","EE and compliance",1,"Seychelles Islands Foundation",0,"Not specified",1,"Implementation of strategies according to the operational schedule",0,"N/A","46"
7,"Aldabra Atoll Special Reserve",1,"Education and interpretation","Develop and implement an education and interpretation program for visitors to Aldabra Atoll, including information disseminated pre- arrival and at the protected area, to raise awareness and understanding of the values of the protected area and appropriate behaviours while on the Atoll. (M)","Improve visitor infrastructure","Visitors","Development; Implementation","EE",1,"Seychelles Islands Foundation",0,"Not specified",1,"Implementation of strategies according to the operational schedule",0,"N/A","47"
7,"Aldabra Atoll Special Reserve",1,"Education and interpretation","Continue to provide education and interpretive material about Aldabra Atoll at Vallée de Mai, as well as at other community events as the opportunity arises. (H)","Community presentations and/or workshops","Local residents; Visitors","Development; Implementation","EE",1,"Seychelles Islands Foundation",0,"Not specified",1,"Implementation of strategies according to the operational schedule",0,"N/A","48"
7,"Aldabra Atoll Special Reserve",1,"Education and interpretation","Complete the Aldabra House project and maximise its potential for education purposes. (H)","Improve visitor infrastructure","Visitors; Scientists","Development; Implementation","EE",1,"Seychelles Islands Foundation",0,"Not specified",1,"Implementation of strategies according to the operational schedule",0,"N/A","49"
8,"Area Marina Protetta di Torre Guaceto",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50"
9,"Tubbataha Reefs Natural Park",1,"2.1 Develop and implement a public outreach program","Public outreach activities will target schools, local communities and local government units regarding species that are commercially important to gain conservation support for the marine ecosystem.","Community presentations and/or workshops","Schools, students, and educators; Local residents; Government officials","Development; Implementation","EE",1,"Tubbataha Management Office",0,"Not specified",1,"Public outreach will be conducted to encourage a sense of stewardship not only for the Park but also for the marine environment in general, and increase compliance to regulations.",0,"N/A","51"
10,"Raja Ampat Islands Marine Protected Area Network",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52"
11,"Arnavon Marine Park",1,"Research, Monitoring & Education","The Management Committee will prescribe guidelines to regulate the undertaking of field researches by private individuals that are not aligned to key functions of the Marine Protected Area.","Park staff leadership development, training, and/or expansion","Visitors; Scientists","Implementation","Compliance",1,"Management Committee",0,"Not specified",1,"The Arnavon Marine Park will be enhanced and promoted as a unique or premier living marine laboratory for scientific research and environmental monitoring.",0,"N/A","53"
11,"Arnavon Marine Park",1,"Research, Monitoring & Education","Facilities for this purpose [as a research site] should be procured and installed or maintained in the islands for ongoing monitoring.","Collaborate on restoration and monitoring efforts","Visitors; Scientists","Implementation","EE",1,"Management Committee",0,"Not specified",1,"The Arnavon Marine Park will be enhanced and promoted as a unique or premier living marine laboratory for scientific research and environmental monitoring.",0,"N/A","54"
11,"Arnavon Marine Park",1,"Research, Monitoring & Education","Organized or prearranged visits by secondary schools provide a unique opportunity for students to learn and acquire first-hand information about nature conservation. The Management Committee ensures that proper facilities for learning are provided to cater for such educational trips.","School presentations and/or workshops","Schools, students, and educators","Implementation","EE",1,"Management Committee",0,"Not specified",1,"The Arnavon Marine Park will be enhanced and promoted as a unique or premier living marine laboratory for scientific research and environmental monitoring.",0,"N/A","55"
12,"Papahānaumokuākea Marine National Monument",1,"Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Strategy NHCH-1: Identify and prioritize scientific and Native Hawaiian cultural research needs within 18 months.","Evaluation of strategy","Native Hawaiian community; Park administration","Development; Implementation","Other",1,"Monument Management Board; Office of Hawaiian Affairs (OHA)",0,"Not specified",1,"Research on these topics will give insight into the appropriateness of certain activities and practices that occur in the area.",1,"Identify and prioritize scientific and Native Hawaiian cultural research needs within 18 months.","56"
12,"Papahānaumokuākea Marine National Monument",1,"Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Strategy NHCH-2: Conduct, support, and facilitate Native Hawaiian cultural access and research of the Northwestern Hawaiian Islands (NWHI) over the life of the plan.","Collaborate with Indigenous communities to conserve","Native Hawaiian community; General public; Local residents; Organizations as potential collaborators","Development; Implementation","Other",1,"Monument Management Board; Office of Hawaiian Affairs (OHA); National Oceanic and Atmospheric Administration (NOAA); State of Hawai‘i; U.S. Fish and Wildlife Service",0,"Not specified",1,"All of these types of cultural research findings would be integrated and presented as part of an annual meeting to present current research being conducted in the Northwestern Hawaiian Islands (NWHI) (see Section 3.1.1, the Marine Conservation Science Action Plan).",0,"N/A","57"
12,"Papahānaumokuākea Marine National Monument",1,"Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Strategy NHCH-3: Increase cultural resource management capacity across Monument Management Board agencies over the life of the plan.","Park staff leadership development, training, and/or expansion","Park administration; Native Hawaiian community; Organizations as potential collaborators","Development; Implementation","EE",1,"Monument Management Board; Office of Hawaiian Affairs (OHA); National Oceanic and Atmospheric Administration (NOAA)",0,"Not specified",1,"To effectively carry out the strategies and activities outlined within this action plan, the Monument Management Board agencies will increase their collective capacity to effectively understand, manage, and protect the Native Hawaiian cultural resources of the Monument and fulfill federal and state mandates and requirements.",0,"N/A","58"
12,"Papahānaumokuākea Marine National Monument",1,"Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Strategy NHCH-4: Plan, develop, and implement a Monument Cultural Resources Program over the life of the plan.","Community presentations and/or workshops","Native Hawaiian community; General public; Local residents; Visitors; Organizations as potential collaborators","Development; Implementation","EE",1,"Monument Management Board; U.S. Fish and Wildlife Service",0,"Not specified",1,"All cultural resources in the Northwestern Hawaiian Islands (NWHI) are under the jurisdiction of the Monument, and therefore the Monument Management Board will support efforts to protect these important elements, including archaeological sites and the sacred resources of the NWHI, according to the parameters and conditions included within Sections 106 and 110 of the National Historic Preservation Act.",0,"N/A","59"
12,"Papahānaumokuākea Marine National Monument",1,"Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Strategy NHCH-5: Provide cultural outreach and educational opportunities to serve the Native Hawaiian community and the general public over the life of the plan.","Community presentations and/or workshops","Native Hawaiian community; General public; Local residents; Organizations as potential collaborators","Development; Implementation","EE",1,"Monument Management Board; Office of Hawaiian Affairs (OHA); National Oceanic and Atmospheric Administration (NOAA)",0,"Not specified",1,"The Native Hawaiian Cultural Working Group, Native Hawaiian community leaders, cultural experts, and others will be consulted for cultural accuracy and appropriateness and for input on how information is used and shared.",0,"N/A","60"
13,"Greater Farallones National Marine Sanctuary",1,"Education and Outreach Action Plan","STRATEGY ED-1: Educate K-8 students about the sanctuary through visitor center, classroom, and field activities.","School presentations and/or workshops","Schools, students, and educators; Local youth; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Sanctuary Superintendent; Education Coordinator; Farallones Marine Sanctuary Association (FMSA)",0,"Not specified",1,"1) Structure programs to educate along an environmental literacy continuum including developing awareness, building a knowledge base, changing behavior, and building stewardship. 2) To target diverse audiences including various multicultural, socio-economic, age, and gender groups.",1,"1) Track numbers of children reached in K-8 programs. 2) Track number of youth reached in high school programs. 3) Track number of children reached through summer camp program. 4) Evaluate increase in students' knowledge about the sanctuary.","61"
13,"Greater Farallones National Marine Sanctuary",1,"Education and Outreach Action Plan","STRATEGY ED-2: Educate high school students and teachers about the sanctuary through classroom and field activities.","School presentations and/or workshops","Schools, students, and educators; Local youth; Organizations as potential collaborators","Development; Implementation; Evaluation","EE",1,"Sanctuary Superintendent; Education Coordinator; Farallones Marine Sanctuary Association (FMSA)",0,"Not specified",1,"1) Structure programs to educate along an environmental literacy continuum including developing awareness, building a knowledge base, changing behavior, and building stewardship. 2) To target diverse audiences including various multicultural, socio-economic, age, and gender groups.",1,"1) Track numbers of children reached in K-8 programs. 2) Track number of youth reached in high school programs. 3) Track number of children reached through summer camp program. 4) Evaluate increase in students' knowledge about the sanctuary.","62"
